"","var","source"
"1","site",0.009919655909954
"2","P",0.0144047222238675
"3","TA",0.0743125347069183
"4","VPD",0.0184209490793504
"5","SW",0.0161902602876593
"6","TA_1",0.0437136040736364
"7","VPD_1",0.0125086367509301
"8","SW_1",0.013622007085898
"9","P_1",0.0105553035125421
"10","TA_7",0.0466865397553061
"11","VPD_7",0.0185571592799051
"12","SW_7",0.0321771923049256
"13","P_7",0.022100598555202
"14","TA_sd_7",0.00696152568486624
"15","VPD_sd_7",0.011733817856471
"16","SW_sd_7",0.0118631188439539
"17","P_sd_7",0.0199281445594002
"18","TA_30",0.0617051949121082
"19","VPD_30",0.0307726479905111
"20","SW_30",0.0452415271929009
"21","P_30",0.0271097780321192
"22","TA_sd_30",0.0224026298694753
"23","VPD_sd_30",0.0260102261232945
"24","SW_sd_30",0.0413812511467486
"25","P_sd_30",0.0308595066691257
"26","TA_365",0.037289022947478
"27","VPD_365",0.0249807533756246
"28","SW_365",0.0344671029229448
"29","P_365",0.0232297613771909
"30","TA_sd_365",0.0194178498225398
"31","VPD_sd_365",0.0298981390217331
"32","SW_sd_365",0.0256430508000603
"33","P_sd_365",0.0203594768611564
