"","var","vimp"
"1","site",0.0118981356188374
"2","P",0.00149779458200454
"3","TA",0.134921623064142
"4","VPD",0.0357575726344114
"5","SW",0.0203149755239102
"6","TA_1",0.0697637305179803
"7","VPD_1",0.0212270510744855
"8","SW_1",0.0174682087608607
"9","P_1",0.00171361098982692
"10","TA_7",0.0503165666472539
"11","VPD_7",0.0297836213367294
"12","SW_7",0.0410895777877614
"13","P_7",0.0412175841937314
"14","TA_sd_7",0.0142046435694003
"15","VPD_sd_7",0.0138512501831989
"16","SW_sd_7",0.0164132924170814
"17","P_sd_7",0.0382688908345262
"18","TA_30",0.0564297697734864
"19","VPD_30",0.0400308332150186
"20","SW_30",0.0908225787823782
"21","P_30",0.116277190954218
"22","TA_sd_30",0.0398655015766535
"23","VPD_sd_30",0.0318779018441233
"24","SW_sd_30",0.0506651747472507
"25","P_sd_30",0.103142298115831
"26","TA_365",0.0678477019217034
"27","VPD_365",0.0504098797282414
"28","SW_365",0.0545228332209982
"29","P_365",0.0508405554866453
"30","TA_sd_365",0.0424732432937888
"31","VPD_sd_365",0.0462500304306806
"32","SW_sd_365",0.0576342263111561
"33","P_sd_365",0.0444914377505314
