"","var","inactive"
"1","site",0.00750627297893779
"2","P",0.00213374904429417
"3","TA",0.0134456165830747
"4","VPD",0.00706208256486379
"5","SW",0.00600202077912888
"6","TA_1",0.00757712543762445
"7","VPD_1",0.00375109266854524
"8","SW_1",0.002708743997482
"9","P_1",0.000662197979263706
"10","TA_7",0.00981851571723103
"11","VPD_7",0.00754306175556356
"12","SW_7",0.00595296907696119
"13","P_7",0.00587394133457992
"14","TA_sd_7",0.00524308194281223
"15","VPD_sd_7",0.00953646842976687
"16","SW_sd_7",0.00704981963932186
"17","P_sd_7",0.0058344274633893
"18","TA_30",0.01354371998741
"19","VPD_30",0.0167702319522175
"20","SW_30",0.0160044803794887
"21","P_30",0.0249196272484648
"22","TA_sd_30",0.0140887389003843
"23","VPD_sd_30",0.0182894721721333
"24","SW_sd_30",0.0198455011686747
"25","P_sd_30",0.0257793945836817
"26","TA_365",0.0258461594005211
"27","VPD_365",0.0306736644221904
"28","SW_365",0.019924528911056
"29","P_365",0.0375245521582767
"30","TA_sd_365",0.0306028119635037
"31","VPD_sd_365",0.0298070843505613
"32","SW_sd_365",0.015692457051811
"33","P_sd_365",0.0176054734363506
