"","var","source"
"1","site",0.011987215956842
"2","P",0.00150246651985998
"3","TA",0.151153109238338
"4","VPD",0.0365754593045252
"5","SW",0.0254004217795891
"6","TA_1",0.0798240062172061
"7","VPD_1",0.0213954792861357
"8","SW_1",0.0217348103777931
"9","P_1",0.00178384974308125
"10","TA_7",0.058346055670036
"11","VPD_7",0.0283027198799159
"12","SW_7",0.048866038710547
"13","P_7",0.0441253944391425
"14","TA_sd_7",0.0144795192638761
"15","VPD_sd_7",0.0142202979213734
"16","SW_sd_7",0.0168292235843197
"17","P_sd_7",0.0389631294698063
"18","TA_30",0.0619629835961551
"19","VPD_30",0.0383155302504494
"20","SW_30",0.101879982210658
"21","P_30",0.122214779353224
"22","TA_sd_30",0.0406396212497346
"23","VPD_sd_30",0.0316542502016928
"24","SW_sd_30",0.0588819372120001
"25","P_sd_30",0.105076924331685
"26","TA_365",0.0702923993058806
"27","VPD_365",0.0496954743446519
"28","SW_365",0.0565832778791132
"29","P_365",0.0522889593529992
"30","TA_sd_365",0.0427061257993571
"31","VPD_sd_365",0.0465633829729402
"32","SW_sd_365",0.0604746861475742
"33","P_sd_365",0.0458832675515455
