"SiteID","Year","Month","Day","Date","NEE_int","GPP_int","TA_avg","VPD_avg","SW_IN_avg","P_int","SWC_avg"
"US-Mpj",2008,1,1,2008-01-01,0.00555559309103395,0.497108072089098,-6.81493893617021,0.295094680851064,166.645340425532,0,NA
"US-Mpj",2008,1,2,2008-01-02,-0.07812635027337,0.503923516434126,-3.735211875,0.292625,101.733254166667,0,NA
"US-Mpj",2008,1,3,2008-01-03,0.027195481344402,0.462841416811566,-0.221530416666666,0.389123125,140.521020833333,0,NA
"US-Mpj",2008,1,4,2008-01-04,0.037546762040388,0.4862776546827,2.88622791666667,0.322233125,139.94635,0,NA
"US-Mpj",2008,1,5,2008-01-05,0.30203106309027,0.407501715033738,5.249425625,0.334548541666667,81.1341458333333,0,NA
"US-Mpj",2008,1,6,2008-01-06,-0.0500714459901,0.787026927826926,3.69053,0.213193925,83.1978125,0.98985,NA
"US-Mpj",2008,1,7,2008-01-07,-0.386621502447978,1.08940251561827,0.433928541666666,0.0658688354166666,69.9545777291667,10.77837,NA
"US-Mpj",2008,1,8,2008-01-08,0.017895939923808,0.66756668141691,-3.179566875,0.155663375,161.869166666667,4.72929,NA
"US-Mpj",2008,1,9,2008-01-09,0.11751343811811,0.574331253271686,0.2508125,0.306779166666667,159.619683333333,0,NA
"US-Mpj",2008,1,10,2008-01-10,-0.081266328734922,0.701182190477052,-2.18884354166667,0.289295833333333,167.171979166667,0,NA
"US-Mpj",2008,1,11,2008-01-11,0.103051524961278,0.565147493447022,-0.240157291666667,0.343421666666667,166.202795833333,0,NA
"US-Mpj",2008,1,12,2008-01-12,-0.08548433787825,0.720609438566466,-2.31312729166667,0.284393333333333,172.406875,0,NA
"US-Mpj",2008,1,13,2008-01-13,0.235874321373492,0.387034920155142,-3.53774833333333,0.256851666666667,104.2855625,0,NA
"US-Mpj",2008,1,14,2008-01-14,-0.014358718392264,0.642377833810182,-3.15177520833333,0.260527791666667,169.148958333333,0,NA
"US-Mpj",2008,1,15,2008-01-15,0.254857162799214,0.42734197826964,-1.76804208333333,0.344772291666667,148.5649375,0,NA
"US-Mpj",2008,1,16,2008-01-16,0.124857859082292,0.479069900689842,-6.72492708333333,0.204016897916667,169.277833333333,0,NA
"US-Mpj",2008,1,17,2008-01-17,0.062243999609292,0.472497521918868,-10.4832333333333,0.1538695625,184.7563125,0,NA
"US-Mpj",2008,1,18,2008-01-18,0.0750064499038799,0.477047603623266,-7.68424979166667,0.206235208333333,175.3851875,0,NA
"US-Mpj",2008,1,19,2008-01-19,-0.02237963651892,0.561917480193162,-6.172361875,0.2297738125,181.5470625,0,NA
"US-Mpj",2008,1,20,2008-01-20,-0.1306873778499,0.762859828076634,-1.73512041666667,0.392156666666667,180.126541666667,0,NA
"US-Mpj",2008,1,21,2008-01-21,0.041790552579018,0.66809132261757,1.301061875,0.46969625,181.20225,0,NA
"US-Mpj",2008,1,22,2008-01-22,-0.075900029316174,0.69345796691934,1.72400708333333,0.504265416666667,170.607979166667,0,NA
"US-Mpj",2008,1,23,2008-01-23,0.003919906909206,0.651323542557204,1.270761875,0.476881666666666,169.434604166667,0,NA
"US-Mpj",2008,1,24,2008-01-24,0.395737513170174,0.240348642326136,-5.44345458333333,0.0372119375,49.6105908333333,0,NA
"US-Mpj",2008,1,25,2008-01-25,0.298201955881896,0.59605184434689,-0.817533958333333,0.199955860416667,182.950416666667,0.76988,NA
"US-Mpj",2008,1,26,2008-01-26,0.107267758470432,0.555587519267034,0.772543541666667,0.415856458333333,165.794541666667,0,NA
"US-Mpj",2008,1,27,2008-01-27,0.060634240972614,0.642721276872666,4.352059375,0.391774375,116.5321659375,0,NA
"US-Mpj",2008,1,28,2008-01-28,0.416242386353916,0.466617812353164,4.5338925,0.330834895833333,138.1853708125,1.42978,NA
"US-Mpj",2008,1,29,2008-01-29,0.134045426586132,0.437912217165492,-4.66258208333333,0.247818854166667,195.157395833333,0.54992,NA
"US-Mpj",2008,1,30,2008-01-30,0.219992584279338,0.394214393071422,-3.498266875,0.235859104166667,100.827166666667,0,NA
"US-Mpj",2008,1,31,2008-01-31,0.018546787139364,0.554723444179602,-7.52995666666666,0.239751666666667,200.1140625,0,NA
"US-Mpj",2008,2,1,2008-02-01,-0.223734660766614,0.855369991276524,-0.536808125,0.44379625,195.7475625,0,NA
"US-Mpj",2008,2,2,2008-02-02,-0.144031627988586,0.811169114649282,1.92725520833333,0.416168333333333,195.652541666667,0,NA
"US-Mpj",2008,2,3,2008-02-03,-0.00735249509469,0.67501141198335,2.95452541666667,0.424589583333333,119.973770833333,0,NA
"US-Mpj",2008,2,4,2008-02-04,-0.429930030045744,1.06651022478061,1.41890458333333,0.273614389583333,162.152645,0,NA
"US-Mpj",2008,2,5,2008-02-05,0.321545505562668,0.3689048198529,-6.90280416666667,0.06304136875,123.481,4.83927,NA
"US-Mpj",2008,2,6,2008-02-06,0.090053510082246,0.464343172223958,-5.33722770833333,0.1880754375,199.98966875,0,NA
"US-Mpj",2008,2,7,2008-02-07,-0.011117667365712,0.568669796451774,-0.844891875,0.325492916666667,201.421577291667,0,NA
"US-Mpj",2008,2,8,2008-02-08,-0.201733530734214,0.807954711539616,2.21625291666667,0.426861875,206.120733125,0,NA
"US-Mpj",2008,2,9,2008-02-09,-0.368853090373638,0.903331664543466,4.24986666666667,0.602385416666666,208.1171035,0,NA
"US-Mpj",2008,2,10,2008-02-10,-0.499640662376064,1.07352636248606,7.42955,0.766965416666667,208.9851875,0,NA
"US-Mpj",2008,2,11,2008-02-11,-0.172581567750792,0.833961024106956,5.73603916666667,0.610939166666666,190.867270833333,0,NA
"US-Mpj",2008,2,12,2008-02-12,-0.45771977223837,1.1497901161829,3.53032270833333,0.505309166666666,189.95804,0,NA
"US-Mpj",2008,2,13,2008-02-13,-0.335959721549136,1.16532553434878,5.81574333333333,0.638133958333334,190.347520833333,0,NA
"US-Mpj",2008,2,14,2008-02-14,-0.35145725425848,1.33423638349178,6.983039375,0.738925208333333,176.849333333333,0,NA
"US-Mpj",2008,2,15,2008-02-15,-0.141823150717122,0.82343571266889,-3.031576875,0.124491010416667,141.8314375,0,NA
"US-Mpj",2008,2,16,2008-02-16,-0.200106863468154,0.927802033011486,-0.867258333333333,0.178850154166667,142.329520833333,1.75974,NA
"US-Mpj",2008,2,17,2008-02-17,-0.451790917840494,1.21315366794847,0.75075625,0.388635416666667,204.868227083333,0,NA
"US-Mpj",2008,2,18,2008-02-18,-0.58576471975881,1.24839659059016,1.46029041666667,0.497489375,202.016004166667,0,NA
"US-Mpj",2008,2,19,2008-02-19,-0.84179382100308,1.54949943394359,5.53138791666667,0.700830416666667,178.693720833333,0,NA
"US-Mpj",2008,2,20,2008-02-20,-0.7319496145356,1.44109676050321,5.00120708333333,0.511155770833333,172.1991625,1.20982,NA
"US-Mpj",2008,2,21,2008-02-21,-0.491962294846548,1.11708336060788,0.332166666666667,0.183371164583333,161.963691875,5.05924,NA
"US-Mpj",2008,2,22,2008-02-22,-0.637099851490632,1.35099286569326,0.184513958333334,0.145948147916667,190.990029166667,0,NA
"US-Mpj",2008,2,23,2008-02-23,-0.485189243470152,1.13443647318767,1.1775325,0.2176331875,187.027208333333,7.80882,NA
"US-Mpj",2008,2,24,2008-02-24,-0.323542414714302,1.17000434747691,6.19068395833333,0.606914791666667,207.215019375,0,NA
"US-Mpj",2008,2,25,2008-02-25,-0.441955962505296,1.21845819095069,4.31898125,0.483452708333333,207.75625,0,NA
"US-Mpj",2008,2,26,2008-02-26,-0.69890871414168,1.3524885292946,1.35397375,0.416256875,224.9383125,0,NA
"US-Mpj",2008,2,27,2008-02-27,-0.830454735752856,1.53840002341799,4.93959666666667,0.669277916666667,227.249479166667,0,NA
"US-Mpj",2008,2,28,2008-02-28,-0.815043960490338,1.57806449351293,8.626966875,0.932444791666667,227.621889583333,0,NA
"US-Mpj",2008,2,29,2008-02-29,-0.943257909338784,1.67412130188278,8.63213729166667,0.867135833333333,229.915979166667,0,NA
"US-Mpj",2008,3,1,2008-03-01,-0.838039951563498,1.69198645023884,10.2143116666667,0.962858541666667,232.617208333333,0,NA
"US-Mpj",2008,3,2,2008-03-02,-1.00243260150496,1.80219858094933,1.627910625,0.34273475,173.474479166667,0,NA
"US-Mpj",2008,3,3,2008-03-03,0.00509879741714999,0.849473978868234,-4.358889375,0.201846704166667,217.475823125,2.85958,NA
"US-Mpj",2008,3,4,2008-03-04,-0.440514350998326,1.3404207354973,2.96555166666667,0.640122916666667,230.695322708333,0,NA
"US-Mpj",2008,3,5,2008-03-05,-1.06457448085375,1.90030350302134,2.03139520833333,0.484179145833333,217.0771875,0,NA
"US-Mpj",2008,3,6,2008-03-06,-0.0819797334903719,0.894970322775594,-5.81028104166667,0.0878226854166667,183.254027083333,8.35875,NA
"US-Mpj",2008,3,7,2008-03-07,-0.25782286686354,1.04036638736828,-1.817163125,0.3590254375,247.840866666667,0,NA
"US-Mpj",2008,3,8,2008-03-08,-0.774553043488878,1.44266126392593,1.94903541666667,0.52633,167.424110416667,0,NA
"US-Mpj",2008,3,9,2008-03-09,-0.741234989366046,1.34670491606453,1.032015625,0.352797916666667,215.703,0,NA
"US-Mpj",2008,3,10,2008-03-10,-1.25499260801806,1.84894512005941,4.13003375,0.5523225,245.9534125,0,NA
"US-Mpj",2008,3,11,2008-03-11,-1.19934275312959,1.85362479257459,5.13835583333333,0.600595020833333,254.826079166667,0,NA
"US-Mpj",2008,3,12,2008-03-12,-0.946231141633668,1.72514103554048,7.79927333333333,0.867595,255.63708125,0,NA
"US-Mpj",2008,3,13,2008-03-13,-0.997508341814202,1.83062781888152,8.49243395833333,0.851019583333333,237.278483333333,0,NA
"US-Mpj",2008,3,14,2008-03-14,-1.01536859004259,1.85058669525856,8.56467333333333,0.909646041666666,258.161427083333,0,NA
"US-Mpj",2008,3,15,2008-03-15,-0.993827279645496,1.72689016643406,6.66086604166667,0.849409375,196.045958333333,0,NA
"US-Mpj",2008,3,16,2008-03-16,-1.06810241819458,1.91155617501196,7.25011229166667,0.7952825,237.67965,0,NA
"US-Mpj",2008,3,17,2008-03-17,-1.61281235343474,2.24345850004717,-0.0499531250000002,0.371320416666667,254.540433333333,0,NA
"US-Mpj",2008,3,18,2008-03-18,-1.37838496744397,2.12036470897828,2.16470354166667,0.49055125,261.758604166667,0,NA
"US-Mpj",2008,3,19,2008-03-19,-1.44518204612673,2.19904637073298,4.99753229166667,0.738644583333333,272.2584375,0,NA
"US-Mpj",2008,3,20,2008-03-20,-1.10021355692752,2.02478882333051,10.4394610416667,1.11933625,265.3446875,0,NA
"US-Mpj",2008,3,21,2008-03-21,-1.36349868398929,2.15916760107268,8.96594854166667,0.954489583333333,268.491520833333,0,NA
"US-Mpj",2008,3,22,2008-03-22,-1.33918393808464,2.09886357335834,7.98150375,0.914408333333333,272.034,0,NA
"US-Mpj",2008,3,23,2008-03-23,-1.06097801501666,1.71441435101548,-0.358505,0.203428020833333,191.729889583333,0,NA
"US-Mpj",2008,3,24,2008-03-24,-1.55295113749144,2.26761879388442,6.336331875,0.607228333333333,280.253479166667,0,NA
"US-Mpj",2008,3,25,2008-03-25,-1.12213979640511,1.9289378077833,11.073868125,1.13358833333333,281.579958333333,0,NA
"US-Mpj",2008,3,26,2008-03-26,-1.02636587706471,1.88848066047705,11.0780104166667,1.13698145833333,229.839354166667,0,NA
"US-Mpj",2008,3,27,2008-03-27,-1.10094471024158,1.93365356547427,11.0406572916667,1.10614770833333,285.665270833333,0,NA
"US-Mpj",2008,3,28,2008-03-28,-1.41323099790503,2.0153810118973,5.05322333333333,0.470083377083333,242.294375,0,NA
"US-Mpj",2008,3,29,2008-03-29,-1.31140785895702,2.03862459724402,10.6279947916667,1.00131166666667,289.360255416667,0,NA
"US-Mpj",2008,3,30,2008-03-30,-0.976296811846986,1.79889527895165,11.9647920833333,1.15318,256.180105625,0,NA
"US-Mpj",2008,3,31,2008-03-31,-1.57287215803108,2.22659711684651,8.31788458333333,0.833593125,294.077042708333,0,NA
"US-Mpj",2008,4,1,2008-04-01,-1.63213618256226,2.18465559687946,5.56205979166667,0.596810729166667,292.594391666667,0,NA
"US-Mpj",2008,4,2,2008-04-02,-1.15407780313106,1.87672294887744,10.9463889583333,1.07993,248.020726041667,0,NA
"US-Mpj",2008,4,3,2008-04-03,-1.33989954589771,1.91909456925413,7.26363875,0.7626925,229.058575,0,NA
"US-Mpj",2008,4,4,2008-04-04,-1.61212213202323,2.18005891002079,6.39822,0.681689383333333,293.4477875,0,NA
"US-Mpj",2008,4,5,2008-04-05,-1.26033152120375,1.93871226399977,9.702381875,1.02388541666667,292.982547916667,0,NA
"US-Mpj",2008,4,6,2008-04-06,-1.0846676581312,1.79062323063314,9.94021,1.00440979166667,290.8588875,0,NA
"US-Mpj",2008,4,7,2008-04-07,-1.03591640922944,1.75314407003199,11.16269,1.08883333333333,269.2827375,0,NA
"US-Mpj",2008,4,8,2008-04-08,-1.50295824899042,2.15641597734895,9.51045020833333,0.993809583333333,305.36054375,0,NA
"US-Mpj",2008,4,9,2008-04-09,-0.949879907280343,1.5176048226964,5.72488583333333,0.534309022916667,140.951052083333,2.08968,NA
"US-Mpj",2008,4,10,2008-04-10,-1.12253706412168,1.58324089563457,1.08821104166667,0.360603166666667,231.225958333333,0.76988,NA
"US-Mpj",2008,4,11,2008-04-11,-1.18001506400298,1.72843417644836,0.9704725,0.4410922625,318.186979166667,0,NA
"US-Mpj",2008,4,12,2008-04-12,-1.25006391713309,1.81605946085559,2.11620333333333,0.446144439583333,306.5761875,0,NA
"US-Mpj",2008,4,13,2008-04-13,-1.24269329232272,1.84923159170593,5.561605625,0.696433333333333,323.572541666667,0,NA
"US-Mpj",2008,4,14,2008-04-14,-0.905617207105415,1.655690009877,11.533878125,1.17172729166667,324.96475,0,NA
"US-Mpj",2008,4,15,2008-04-15,-0.45102136689684,1.37531920824243,15.6567727083333,1.63005625,325.286291666667,0,NA
"US-Mpj",2008,4,16,2008-04-16,-0.667989206464824,1.53693948355992,12.8157247916667,1.36249375,316.412791666667,0,NA
"US-Mpj",2008,4,17,2008-04-17,-0.868232677449852,1.42474721914921,0.493159583333333,0.284853416666667,200.596020833333,8.13878,NA
"US-Mpj",2008,4,18,2008-04-18,-0.746092588727466,1.50710421231223,7.81487854166667,0.949019375,326.34225,0,NA
"US-Mpj",2008,4,19,2008-04-19,-0.419398232883876,1.29713809631285,13.8209725,1.46527104166667,233.954229166667,0,NA
"US-Mpj",2008,4,20,2008-04-20,-0.687456479289978,1.54879013284238,13.1376883333333,1.38893125,332.452627083333,0,NA
"US-Mpj",2008,4,21,2008-04-21,-0.926262604881396,1.70976901074269,11.8866133333333,1.28229770833333,334.246668333333,0,NA
"US-Mpj",2008,4,22,2008-04-22,-0.68660640907659,1.52294848985992,14.278746875,1.51118416666667,334.68139625,0,NA
"US-Mpj",2008,4,23,2008-04-23,-0.763783623753804,1.5875324017204,15.2028266666667,1.56547083333333,322.403337083333,0,NA
"US-Mpj",2008,4,24,2008-04-24,-0.844461690702606,1.64344832932549,13.139750625,1.32696104166667,332.202914583333,0,NA
"US-Mpj",2008,4,25,2008-04-25,-1.40620625206,2.05906460216364,8.42752,1.01770645833333,330.929589583333,0,NA
"US-Mpj",2008,4,26,2008-04-26,-0.952869295186974,1.64246480895082,10.3711158333333,1.13894354166667,331.396160416667,0,NA
"US-Mpj",2008,4,27,2008-04-27,-1.30869514568453,1.89898825794818,4.032645625,0.623304583333333,337.833320833333,0,NA
"US-Mpj",2008,4,28,2008-04-28,-0.974557394297154,1.73772804180667,10.3946370833333,1.13671583333333,342.7763,0,NA
"US-Mpj",2008,4,29,2008-04-29,-0.400102587327636,1.32315819842102,14.8076933333333,1.570238125,265.705089583333,0,NA
"US-Mpj",2008,4,30,2008-04-30,-0.381977234949672,1.36020972002677,15.53330625,1.60995416666667,325.79244375,0,NA
"US-Mpj",2008,5,1,2008-05-01,-1.19112360457012,2.00881993725495,9.31780895833334,1.02598645833333,343.3910375,0,NA
"US-Mpj",2008,5,2,2008-05-02,-1.28532202076596,1.91499970605921,4.18117520833333,0.731515833333333,350.021229166667,0,NA
"US-Mpj",2008,5,3,2008-05-03,-1.03278083688313,1.6814670057659,7.38965541666666,0.868290208333333,349.064520833333,0,NA
"US-Mpj",2008,5,4,2008-05-04,-0.673665549814224,1.43207853613641,14.3206641666667,1.40868625,299.651622916667,0,NA
"US-Mpj",2008,5,5,2008-05-05,-0.68921814361401,1.47333183733402,15.5210683333333,1.19778208333333,273.025854166667,0,NA
"US-Mpj",2008,5,6,2008-05-06,-0.762350526772668,1.54035887415469,14.2702614583333,1.2685075,321.490764375,0,NA
"US-Mpj",2008,5,7,2008-05-07,-0.871127531916192,1.58485082074371,13.1528775,1.177935,343.6001875,0,NA
"US-Mpj",2008,5,8,2008-05-08,-0.957828456801864,1.7028443613287,13.965673125,1.331663125,308.592208333333,0,NA
"US-Mpj",2008,5,9,2008-05-09,-0.668991987486918,1.44809177890703,14.5244602083333,1.42118708333333,282.895375,0,NA
"US-Mpj",2008,5,10,2008-05-10,-0.696262781188422,1.48626893821036,13.6922314583333,1.34747416666667,344.167229166667,0,NA
"US-Mpj",2008,5,11,2008-05-11,-0.775215484970778,1.59526242954581,12.1382804166667,1.21140916666667,352.440458333333,0,NA
"US-Mpj",2008,5,12,2008-05-12,-0.37415249877978,1.3193055530878,16.5450677083333,1.72266875,349.7125,0,NA
"US-Mpj",2008,5,13,2008-05-13,-0.598867077197592,1.45354757910903,13.6359122916667,1.32200583333333,311.8244375,0,NA
"US-Mpj",2008,5,14,2008-05-14,-0.383495408654382,1.14027915517051,6.141291875,0.2579245,129.453145833333,4.28934,NA
"US-Mpj",2008,5,15,2008-05-15,-0.108035140299552,0.816596048742912,5.19079166666667,0.1248664875,80.841875,9.56856,NA
"US-Mpj",2008,5,16,2008-05-16,-1.08468898065895,1.89664751830725,8.93507,0.531788077083333,313.1983125,0,NA
"US-Mpj",2008,5,17,2008-05-17,-0.61346324650185,1.62753426219861,12.0743758333333,0.777280833333333,260.89755625,0.43994,NA
"US-Mpj",2008,5,18,2008-05-18,0.050392188262584,1.11234805991491,17.187506875,1.48872458333333,354.4093125,0,NA
"US-Mpj",2008,5,19,2008-05-19,0.441117600926994,0.863380403693766,20.7137764583333,2.12079791666667,357.948729166667,0,NA
"US-Mpj",2008,5,20,2008-05-20,0.26131415648139,1.10467669676819,21.7753279166667,2.11655208333333,357.438541666667,0,NA
"US-Mpj",2008,5,21,2008-05-21,0.232465868451738,1.10001277103434,19.6131120833333,1.82555583333333,338.707036875,0,NA
"US-Mpj",2008,5,22,2008-05-22,-0.616252685417766,1.550472561248,9.44256333333333,0.6132514375,204.413,2.19966,NA
"US-Mpj",2008,5,23,2008-05-23,-0.60500616447645,1.44159102372289,6.82997229166667,0.3951550625,194.795585416667,4.7293,NA
"US-Mpj",2008,5,24,2008-05-24,-0.826246144843002,1.71600680256986,11.35348875,0.8850875,367.045414104167,0,NA
"US-Mpj",2008,5,25,2008-05-25,-0.191780271204822,1.21497779749585,16.9639775,1.64996625,376.392328541667,0,NA
"US-Mpj",2008,5,26,2008-05-26,-0.190788053184612,1.22163779915424,17.6453891666667,1.7395,376.416234375,0,NA
"US-Mpj",2008,5,27,2008-05-27,-0.31056965716662,1.36718944026012,16.846824375,1.66375875,376.568686041667,0,NA
"US-Mpj",2008,5,28,2008-05-28,-0.16724882809899,1.20471006500357,16.0233066666667,0.697477,255.880627083333,0.10998,NA
"US-Mpj",2008,5,29,2008-05-29,-0.242453890889946,1.33991929428782,19.1535664583333,1.616835625,365.54594875,0,NA
"US-Mpj",2008,5,30,2008-05-30,-0.345186589309218,1.40229111815404,18.6519395833333,1.93922291666667,378.805868541667,0,NA
